geneid	P1vsN1	P2vsN2	P3vsN3
WBGene00018375	-0.64197926	1.10E-06	-0.047589378
WBGene00000247	-0.420243931	-6.00E-06	0.033533821
WBGene00019719	-0.491836912	4.55E-07	0.073822722
WBGene00001439	-0.414219621	2.89E-06	0.160551999
WBGene00018045	-0.542221173	7.22E-06	0.104172812
WBGene00018046	-0.542221173	7.22E-06	0.104172812
WBGene00013732	-0.442602086	-9.73E-06	0.030723118
WBGene00016943	-0.663643144	4.04E-06	-0.033115913
WBGene00014666	-0.491978956	-4.68E-06	-0.54095851
WBGene00020184	-0.535410597	6.26E-06	-0.015356127
WBGene00020191	-0.535410597	6.26E-06	-0.015356127
WBGene00003476	-0.41088874	-4.27E-06	0.071788865
WBGene00003738	-0.514720751	-6.49E-06	0.010481528
WBGene00004862	-0.434344209	-1.47E-06	0.474607119
WBGene00003638	-0.481043728	-1.22E-05	0.033034996
WBGene00000872	-0.510365979	2.39E-06	0.00566532
WBGene00022599	-0.478103297	-2.01E-06	-0.077229617
WBGene00002263	-0.599123636	-2.16E-07	0.695801068
WBGene00016269	-0.536453238	-3.07E-06	-0.007761383
WBGene00012463	-0.469678061	-8.49E-06	0.062778385
WBGene00020910	-0.641044295	-1.47E-06	-0.01008802
WBGene00007030	-0.473593028	-4.65E-06	0.08612647
WBGene00021533	-0.508520218	3.32E-06	0.005940767
WBGene00021535	-0.508520218	3.32E-06	0.005940767
WBGene00044292	-0.67466475	-1.01E-06	0.020171425
WBGene00017488	-0.650141875	-3.98E-06	0.023904022
WBGene00021052	-0.574778831	-2.64E-06	0.033688104
WBGene00007761	-0.50734595	-7.03E-06	0.079682825
WBGene00012735	-0.501363613	-3.49E-06	-0.015897594
WBGene00011146	-0.502430664	-9.69E-06	0.025177947
WBGene00018764	-0.431155154	-5.99E-06	0.026938105
WBGene00003678	-0.500678071	-2.07E-06	-0.008962018
WBGene00008436	-0.490355084	7.83E-07	0.124989564
WBGene00016269	-0.51149423	-4.95E-06	0.117130933
WBGene00015043	-0.412638988	1.26E-05	0.255689949
WBGene00017727	-0.527708003	9.30E-07	-0.03242313
WBGene00017726	-0.527708003	9.30E-07	-0.03242313
WBGene00003163	-0.41910169	4.21E-07	0.148141204
WBGene00019843	-0.41910169	4.21E-07	0.148141204
WBGene00018755	-0.43289209	-8.59E-06	-0.01448324
WBGene00007030	-0.397921866	-6.99E-06	0.052667692
WBGene00013735	-0.397921866	-6.99E-06	0.052667692
WBGene00219860	-0.399111731	-1.39E-05	0.147275042
WBGene00001493	-0.399111731	-1.39E-05	0.147275042
WBGene00005202	-0.399111731	-1.39E-05	0.147275042
WBGene00015776	-0.383507257	-5.75E-06	0.063746375
WBGene00002232	-0.504932529	-5.52E-06	-0.117605068
WBGene00010935	-0.407892274	-6.23E-06	-0.001057804
WBGene00018465	-0.440888559	6.48E-07	0.029826136
WBGene00019890	-0.429002711	-8.40E-06	0.074959206
WBGene00020725	-0.785584289	-4.03E-06	0.029034238
WBGene00016052	-0.582587751	6.05E-06	0.05714137
WBGene00002238	-0.471907985	3.04E-06	0.002906007
WBGene00002183	-0.471907985	3.04E-06	0.002906007
WBGene00003618	-0.500171023	2.01E-07	0.018485225
WBGene00018138	-0.635983921	6.62E-06	-0.009774533
WBGene00077783	-0.707921258	2.41E-06	0.024555784
WBGene00015650	-0.448003234	-6.61E-07	0.126275558
WBGene00017834	-0.496705198	-9.90E-07	0.078011546
WBGene00021079	-0.358874025	-7.38E-06	0.354168488
WBGene00011912	-0.423166022	-1.78E-05	-0.050099962
WBGene00003777	-0.423166022	-1.78E-05	-0.050099962
WBGene00012326	-0.465671022	1.16E-06	0.075529852
WBGene00044611	-0.354448441	4.69E-06	-0.023798644
WBGene00020841	-0.354448441	4.69E-06	-0.023798644
WBGene00012988	-0.544101207	1.17E-06	-0.003386731
WBGene00012989	-0.544101207	1.17E-06	-0.003386731
WBGene00003627	-0.465257319	-6.97E-06	0.049770947
WBGene00002163	-0.508471491	1.23E-05	0.128172657
WBGene00016331	-0.564716307	-2.95E-06	0.055810101
WBGene00016333	-0.564716307	-2.95E-06	0.055810101
WBGene00009221	-0.678392142	4.87E-06	0.08798601
WBGene00019493	-0.63591066	-7.52E-07	-0.06897276
WBGene00006703	-0.470986626	-9.16E-06	-0.034234639
WBGene00000101	-0.470986626	-9.16E-06	-0.034234639
WBGene00006527	-0.456500508	-1.30E-06	0.119625242
WBGene00001121	-0.598849174	2.06E-06	-0.106584755
WBGene00010859	-0.598849174	2.06E-06	-0.106584755
WBGene00007332	-0.351469561	-3.33E-07	0.023592174
WBGene00007330	-0.351469561	-3.33E-07	0.023592174
WBGene00020393	-0.417352145	-1.05E-05	-0.007036233
WBGene00019747	-0.515780398	3.14E-06	-0.009474357
WBGene00019208	-0.589507842	1.54E-06	-0.002440415
WBGene00022423	-0.467819045	6.97E-06	-0.03650384
WBGene00001431	-0.525782078	-8.97E-06	-0.004935895
WBGene00019322	-0.643992861	1.84E-07	0.013407212
WBGene00001056	-0.643992861	1.84E-07	0.013407212
WBGene00002067	-0.593439231	-3.56E-06	0.00894919
WBGene00000216	-0.661322003	-4.14E-06	0.03389817
WBGene00019227	-0.661322003	-4.14E-06	0.03389817
WBGene00022078	-0.38822164	-4.79E-06	0.058588625
WBGene00012747	-0.631486678	-1.67E-06	0.019910764
WBGene00003423	-0.380633593	3.10E-06	0.149709441
WBGene00015650	-0.57801563	8.14E-07	0.084974904
WBGene00017512	-0.399955858	-5.83E-06	-0.077708509
WBGene00011662	-0.425108304	-5.03E-06	0.095217444
WBGene00006434	-0.404209539	3.13E-06	-0.052893569
WBGene00010790	-0.593471615	-3.60E-06	0.519356326
WBGene00010791	-0.593471615	-3.60E-06	0.519356326
WBGene00001748	-0.430645739	-5.32E-06	0.041485553
WBGene00002182	-0.430645739	-5.32E-06	0.041485553
WBGene00004258	-0.413617311	6.05E-06	0.190152354
WBGene00006169	-0.392413003	-1.79E-05	0.206799061
WBGene00011544	-0.392413003	-1.79E-05	0.206799061
WBGene00006941	-0.419551366	1.27E-06	0.049928542
WBGene00006947	-0.495673517	-5.11E-06	0.114775309
WBGene00007883	-0.397299365	6.91E-06	0.231041356
WBGene00012664	-0.51628081	1.61E-06	-0.009688364
WBGene00011615	-0.600822282	-3.36E-06	0.027453559
WBGene00001030	-0.389772826	-9.55E-06	0.003136734
WBGene00008149	-0.462541112	1.36E-06	0.030676521
WBGene00008148	-0.462541112	1.36E-06	0.030676521
WBGene00003970	-0.465430105	-1.01E-05	0.036645502
WBGene00012444	-0.4624711	-5.88E-06	0.06601546
WBGene00001911	-0.403895145	-4.54E-06	0.120788034
WBGene00006928	-0.622970795	1.45E-06	0.005925158
WBGene00008117	-0.524570318	-1.57E-07	-0.044481448
WBGene00018974	-0.425980686	-1.12E-05	-0.043252432
WBGene00021533	-0.493884958	1.67E-06	0.041751284
WBGene00021535	-0.493884958	1.67E-06	0.041751284
WBGene00017979	-0.471573728	-4.74E-06	0.055303773
WBGene00002232	-0.869792906	2.22E-08	0.012627466
WBGene00011511	-0.586122758	9.29E-07	0.023254394
WBGene00003268	-0.445017606	-3.53E-06	0.032025895
WBGene00016331	-0.563093227	-1.91E-06	0.02257721
WBGene00016333	-0.563093227	-1.91E-06	0.02257721
WBGene00022010	-0.354665474	-8.75E-06	0.137138564
WBGene00001439	-0.437298733	7.88E-06	0.161955473
WBGene00015326	-0.468477915	-2.43E-06	-0.017554239
WBGene00020674	-0.843229962	2.37E-07	0.00740619
WBGene00022712	-0.380719656	-1.73E-05	0.012272643
WBGene00010935	-0.531964301	2.47E-07	0.038740696
WBGene00016052	-0.572322381	1.90E-06	0.026976078
WBGene00006727	-0.456572529	6.95E-06	0.106303821
WBGene00017776	-0.456572529	6.95E-06	0.106303821
WBGene00009643	-0.604579086	-1.34E-06	0.011889853
WBGene00001683	-0.472862273	-7.44E-07	-0.008073504
WBGene00020725	-0.623952476	-4.78E-06	0.018192388
WBGene00016269	-0.44811795	-5.11E-06	0.022823709
WBGene00011140	-0.499499395	-3.79E-06	-0.071874496
WBGene00012217	-0.499499395	-3.79E-06	-0.071874496
WBGene00044134	-0.412594374	-2.95E-06	-0.39515296
WBGene00003450	-0.456894298	-4.53E-06	0.082950851
WBGene00044484	-0.456894298	-4.53E-06	0.082950851
WBGene00017838	-0.389175596	-7.24E-06	0.291306823
WBGene00003182	-0.487882309	-4.99E-06	0.060288856
WBGene00008412	-0.372480392	5.24E-07	-0.009590582
WBGene00007331	-0.476370893	5.22E-06	-0.020010704
WBGene00016877	-0.524529737	-2.25E-06	-0.010501311
WBGene00018488	-0.421605918	-3.24E-06	0.096971532
WBGene00006941	-0.42391222	-4.88E-06	0.009524987
WBGene00011304	-0.38257893	-7.17E-06	0.079800532
WBGene00023237	-0.570807722	6.84E-06	0.019206022
WBGene00012712	-0.548245273	3.49E-06	0.010994844
WBGene00023015	-0.359941125	-3.90E-06	0.014162695
WBGene00006699	-0.500134682	-1.59E-06	0.166361129
WBGene00011102	-0.689896084	-5.31E-06	0.075258487
WBGene00016144	-0.37666451	-8.83E-06	-0.278991091
WBGene00020910	-0.378530709	-9.26E-06	0.114280677
WBGene00020911	-0.378530709	-9.26E-06	0.114280677
WBGene00019963	-0.41044912	-2.78E-06	-0.030563229
WBGene00019961	-0.41044912	-2.78E-06	-0.030563229
WBGene00006927	-0.555211382	-4.61E-06	0.39913031
WBGene00019885	-0.499839931	6.02E-06	0.052846953
WBGene00016406	-0.423790643	-4.54E-06	0.039219794
WBGene00006928	-0.609854136	1.65E-06	0.033025246
WBGene00011662	-0.390995167	-6.37E-06	0.070801153
WBGene00003828	-0.466299392	-8.08E-06	0.014223314
WBGene00195209	-0.466299392	-8.08E-06	0.014223314
WBGene00235350	-0.395558831	-3.74E-06	0.039779082
WBGene00011868	-0.525143387	-4.20E-06	-0.023135647
WBGene00004063	-0.39472375	1.79E-05	0.048995611
WBGene00000228	-0.350513318	-1.12E-05	0.339348584
WBGene00019747	-0.42707907	2.85E-06	-0.091415246
WBGene00017016	-0.480246568	-5.88E-06	-0.006968062
WBGene00004336	-0.405028721	-1.17E-06	0.075739454
WBGene00003262	-0.369037657	-7.33E-06	0.141025365
WBGene00004336	-0.355831256	-6.78E-06	0.072365625
WBGene00019612	-0.371194719	2.16E-06	0.304104442
WBGene00020950	-0.428391113	-1.25E-06	0.042234748
WBGene00020951	-0.428391113	-1.25E-06	0.042234748
WBGene00004169	-0.437901002	-1.20E-06	0.226381702
WBGene00001433	-0.627379918	-2.17E-06	0.031234702
WBGene00016331	-0.511391885	-6.76E-06	0.023330007
WBGene00016333	-0.511391885	-6.76E-06	0.023330007
WBGene00019719	-0.476342451	6.70E-07	0.148407948
WBGene00016866	-0.346954791	-8.03E-06	0.139580422
WBGene00019654	-0.524030722	-9.28E-07	0.034007209
WBGene00006833	-0.468673438	-5.01E-06	-0.043424866
WBGene00001564	-0.502450897	1.98E-06	0.021237211
WBGene00008446	-0.422599576	-2.04E-06	0.203823794
WBGene00010317	-0.443763841	-4.28E-06	0.053548843
WBGene00016407	-0.396643701	4.89E-06	0.059571815
WBGene00006927	-0.565105413	-5.57E-06	0.076784239
WBGene00016997	-0.386369988	1.18E-07	0.018162603
WBGene00000988	-0.392847567	-5.72E-06	-0.076089808
WBGene00016998	-0.392847567	-5.72E-06	-0.076089808
WBGene00206384	-0.392847567	-5.72E-06	-0.076089808
WBGene00219285	-0.429595818	7.31E-07	-0.023368531
WBGene00206479	-0.360030088	-4.71E-06	0.152560839
WBGene00019657	-0.348302692	-9.14E-07	0.005835529
WBGene00009895	-0.572784344	2.04E-06	0.016950106
WBGene00012230	-0.441509983	-9.59E-06	-0.060748565
WBGene00016331	-0.533240696	-3.08E-06	-0.015680221
WBGene00016333	-0.533240696	-3.08E-06	-0.015680221
WBGene00001537	-0.425470823	1.68E-07	0.194839191
WBGene00017295	-0.491591998	-1.54E-06	0.070480808
WBGene00023000	-0.459162456	-7.55E-06	0.043751072
WBGene00011622	-0.53867692	1.56E-06	0.004521025
WBGene00003474	-0.53867692	1.56E-06	0.004521025
WBGene00002263	-0.452726926	3.57E-06	0.387721861
WBGene00022202	-0.457224264	-4.44E-06	0.062066447
WBGene00019304	-0.316317917	6.19E-07	0.003123128
WBGene00011104	-0.45653862	2.53E-06	0.050876465
WBGene00004751	-0.326960394	4.52E-06	0.069357648
WBGene00006927	-0.604520656	-2.32E-06	0.06311095
WBGene00019550	-0.503060506	5.59E-06	0.036821427
WBGene00022307	-0.353163647	1.59E-06	0.104778563
WBGene00000231	-0.35646877	-6.28E-06	-0.070887767
WBGene00021876	-0.446356433	-7.69E-06	0.004537698
WBGene00010658	-0.53483026	-1.47E-06	-0.034745866
WBGene00003651	-0.453640568	-8.02E-06	-0.005209068
WBGene00006890	-0.482753329	1.24E-06	0.007653907
WBGene00007296	-0.357341725	-3.06E-06	-0.092628028
WBGene00000557	-0.52319255	-3.13E-06	-0.012446115
WBGene00003620	-0.357430824	1.53E-06	0.246794538
WBGene00015248	-0.461796758	-6.24E-07	-0.004467869
WBGene00008748	-0.39163731	-2.83E-06	0.054420305
WBGene00006927	-0.589398471	-3.78E-06	0.064445042
WBGene00013871	-0.512400225	-2.78E-06	0.017673099
WBGene00006923	-0.411793602	6.14E-06	0.074620887
WBGene00021078	-0.478803364	1.34E-06	0.026435121
WBGene00004336	-0.374608233	-3.14E-06	0.051272594
WBGene00019211	-0.348092629	-8.29E-06	0.087271639
WBGene00016111	-0.455831129	-4.33E-06	0.018486017
WBGene00006527	-0.536760885	-1.83E-06	0.084394714
WBGene00006923	-0.467019964	1.03E-06	-0.003381716
WBGene00020648	-0.567866745	4.26E-06	0.046667614
WBGene00000872	-0.467894073	4.90E-07	-0.000170201
WBGene00012616	-0.452281682	1.92E-07	-0.099611293
WBGene00018971	-0.594196691	-2.29E-06	0.014041458
WBGene00006941	-0.438733862	-6.85E-06	0.092835369
WBGene00019211	-0.499889998	-5.26E-07	0.056104137
WBGene00008149	-0.354521163	-1.02E-05	0.029850942
WBGene00003163	-0.514965039	-1.28E-06	0.057632496
WBGene00000898	-0.370374076	3.05E-06	-0.101829912
WBGene00003883	-0.586558866	-5.26E-07	0.026854043
WBGene00219308	0.179326922	1.08E-05	0.876803677
WBGene00014547	0.179326922	1.08E-05	0.876803677
WBGene00014546	-0.060147492	7.60E-06	0.806678851
WBGene00023105	0.089035851	4.49E-06	0.753442669
WBGene00023034	-0.114354646	5.15E-06	0.715815046
WBGene00012530	0.112107458	-7.45E-06	0.807541083
WBGene00022995	-0.048259473	1.89E-06	0.452739491
WBGene00017559	-0.048259473	1.89E-06	0.452739491
WBGene00022900	0.221612424	8.97E-06	0.803248421
WBGene00017378	-0.043920666	1.45E-05	0.646972042
WBGene00003775	-0.074510921	-5.37E-06	0.687514953
WBGene00008832	-0.074510921	-5.37E-06	0.687514953
WBGene00014271	0.024343099	1.13E-05	0.743929398
WBGene00007813	0.024343099	1.13E-05	0.743929398
WBGene00206389	0.024343099	1.13E-05	0.743929398
WBGene00020954	-0.285888736	-1.07E-05	0.572850101
WBGene00014548	0.11598912	1.46E-05	0.708982386
WBGene00009803	0.043922815	-1.53E-06	0.462438321
WBGene00022826	0.079535666	1.44E-05	0.50269277
WBGene00001475	0.189624729	1.34E-06	0.749365772
WBGene00014368	0.118792316	7.17E-06	0.572394747
WBGene00077707	0.118792316	7.17E-06	0.572394747
WBGene00009552	0.118792316	7.17E-06	0.572394747
WBGene00009786	0.118792316	7.17E-06	0.572394747
WBGene00010357	0.118792316	7.17E-06	0.572394747
WBGene00004108	-0.168540027	1.16E-05	0.658624779
WBGene00008515	-0.138167113	3.52E-06	0.675921551
WBGene00014480	0.108515769	9.69E-06	0.592901578
WBGene00006684	-0.233096742	-1.58E-05	0.451229589
WBGene00014609	-0.109655682	1.06E-05	0.494750984
WBGene00014610	-0.109655682	1.06E-05	0.494750984
WBGene00008849	0.110922956	1.12E-05	0.849465358
WBGene00014627	0.009496491	7.27E-06	0.555671746
WBGene00014629	0.009496491	7.27E-06	0.555671746
WBGene00014070	0.009496491	7.27E-06	0.555671746
WBGene00195210	0.009496491	7.27E-06	0.555671746
WBGene00017580	-0.085670949	6.70E-06	0.684955521
WBGene00017965	-0.091800304	2.22E-06	0.638090715
WBGene00077704	-0.037211728	-1.34E-06	0.864486757
WBGene00017195	0.086535967	5.77E-06	0.520898926
WBGene00006894	0.007109982	3.12E-06	0.656684545
WBGene00023108	0.121192932	-3.54E-06	0.464919806
WBGene00021068	-0.051880845	1.09E-06	0.480028732
WBGene00004108	-0.169449354	1.00E-05	0.613075149
WBGene00007929	-0.028212149	1.74E-07	0.795854273
WBGene00007553	-0.112637614	1.61E-07	0.604218518
WBGene00003423	-0.302175099	7.31E-06	0.618741403
WBGene00219362	0.06796238	3.44E-06	0.772235449
WBGene00012420	0.040513384	7.91E-06	0.335398124
WBGene00003151	-0.105190077	-3.48E-06	0.617286814
WBGene00010005	0.023138106	5.09E-07	0.573004521
WBGene00010397	-0.3895078	-2.48E-06	0.774594775
WBGene00219362	-0.035573737	6.48E-07	0.749039141
WBGene00004108	-0.124784568	1.61E-05	0.4800243
WBGene00001590	0.08023658	-6.39E-06	0.479098625
WBGene00006407	0.08023658	-6.39E-06	0.479098625
WBGene00009221	-0.494210803	1.01E-05	0.722614246
WBGene00012017	0.032161387	-4.48E-06	-1.037983647
WBGene00000067	0.032161387	-4.48E-06	-1.037983647
WBGene00007685	0.014983646	-1.19E-06	-1.111706567
WBGene00017447	0.097250047	4.26E-06	-0.982391741
WBGene00022112	-0.01960854	-1.22E-05	-0.849181521
WBGene00000199	-0.01960854	-1.22E-05	-0.849181521
WBGene00022118	-0.01960854	-1.22E-05	-0.849181521
WBGene00006495	-0.207176138	-4.14E-06	-0.926684212
WBGene00017948	-0.207176138	-4.14E-06	-0.926684212
WBGene00009554	-0.132366539	3.13E-06	-0.660989083
WBGene00000237	0.069576974	-1.38E-07	-0.747099112
WBGene00012554	0.090587374	2.90E-06	-0.684580069
WBGene00008601	-0.070075713	-6.42E-06	-0.71266477
WBGene00010605	-0.04615959	-3.72E-06	-0.822780519
WBGene00008194	-0.001124061	3.34E-06	-0.822605821
WBGene00002138	-0.004898686	3.64E-06	-0.891257118
WBGene00012910	0.182885845	-8.93E-06	-0.63492791
WBGene00000565	0.128638691	-1.02E-05	-0.654295298
WBGene00013136	0.050473893	1.42E-06	-0.585578091
WBGene00001489	-0.01603965	-3.15E-06	-0.596786465
WBGene00001145	-0.003885297	-5.35E-06	-0.4610178
WBGene00007620	-0.003885297	-5.35E-06	-0.4610178
WBGene00003577	-0.1025231	-1.68E-06	-0.761837313
WBGene00012368	-0.027558535	-1.88E-06	-0.699171606
WBGene00012369	-0.027558535	-1.88E-06	-0.699171606
WBGene00006439	-0.134104263	-2.89E-07	-0.526463326
WBGene00008348	0.017397398	8.77E-06	-0.668287441
WBGene00206418	0.170503317	-1.53E-06	-0.641857324
WBGene00010851	0.170503317	-1.53E-06	-0.641857324
WBGene00003980	-0.024280902	-4.26E-06	-0.632729447
WBGene00020245	0.109501145	9.13E-07	-0.511815177
WBGene00020245	-0.271463145	-1.49E-05	-0.624290985
WBGene00021320	0.002351167	-4.00E-06	-0.530418499
WBGene00003615	0.04309428	-2.59E-06	-0.640427507
WBGene00007047	0.043115329	-6.23E-06	-0.475467348
WBGene00006439	-0.168819106	-5.29E-06	-0.496516318
WBGene00000376	0.136964197	-2.71E-06	-0.465052214
WBGene00012943	0.257700878	-6.34E-06	-0.5245752
WBGene00001193	0.002396128	-1.66E-06	-0.612808795
WBGene00020662	0.088975476	-5.75E-07	-0.575247891
WBGene00011755	-0.149923223	-1.44E-07	-0.50827589
WBGene00015793	0.058537927	2.09E-06	-0.867731805
WBGene00001177	0.305178641	-6.35E-06	-0.63170568
WBGene00017447	0.143123108	4.19E-06	-0.6692676
WBGene00015082	0.071127033	4.18E-06	-0.74115534
WBGene00015084	0.071127033	4.18E-06	-0.74115534
WBGene00271715	0.071127033	4.18E-06	-0.74115534
WBGene00000650	0.340881114	-5.83E-06	-0.611566786
WBGene00022880	0.340881114	-5.83E-06	-0.611566786
WBGene00022881	0.340881114	-5.83E-06	-0.611566786
WBGene00021348	-0.037570603	-4.32E-06	-0.54305727
WBGene00019726	-0.100310763	-1.20E-06	-0.386268719
WBGene00002235	-0.061299248	-6.17E-07	-0.569517044
WBGene00016889	0.027730704	3.36E-07	-0.613792425
WBGene00016890	0.027730704	3.36E-07	-0.613792425
WBGene00000289	-0.004137985	1.33E-06	-0.626543503
WBGene00016222	-0.012977053	-7.93E-07	-0.42869521
WBGene00015082	-0.015744873	2.33E-06	-0.866517942
WBGene00015084	-0.015744873	2.33E-06	-0.866517942
WBGene00003243	-0.059556236	-1.26E-05	-0.474565853
WBGene00023404	0.067671597	-4.90E-06	-0.407219507
WBGene00002251	-0.028362872	-8.49E-07	-0.54617569
WBGene00010901	0.007914424	1.89E-06	-0.74637128
WBGene00002915	0.050362379	-1.20E-05	-0.524869604
WBGene00000381	-0.273046329	-1.37E-05	-0.60234356
WBGene00003630	0.141512769	-2.10E-05	-0.308600022
