geneid	P1vsN1	P2vsN2	P3vsN3
WBGene00009323	0.480816981	1.13E-05	-0.029812011
WBGene00006875	0.591395831	1.52E-06	0.031033963
WBGene00002957	0.614406476	-5.04E-06	-0.040387093
WBGene00021864	0.556898344	0.521910223	-0.004730199
WBGene00006951	0.372682286	4.39E-06	-0.013473331
WBGene00009431	0.567154653	3.18E-06	-0.289743817
WBGene00008224	0.476779035	7.22E-06	-0.092285608
WBGene00014640	0.480237493	1.74E-06	0.361180638
WBGene00000802	0.355265647	-3.26E-05	-0.32736351
WBGene00004795	0.611377904	8.33E-06	0.065980575
WBGene00021464	0.665961362	6.69E-08	-0.050583481
WBGene00014870	0.65545096	-1.69E-08	0.021692586
WBGene00003581	0.65545096	-1.69E-08	0.021692586
WBGene00005386	0.618175797	2.33E-06	0.10445308
WBGene00001240	0.465287862	-3.87E-06	-0.034481442
WBGene00003408	0.492290728	-8.01E-06	0.052600347
WBGene00017720	0.471884945	3.68E-06	-0.008683636
WBGene00021500	1.076487524	-5.05E-06	0.002166998
WBGene00019713	0.587495352	9.50E-06	-0.145837925
WBGene00019295	0.447698951	-9.03E-06	-0.047140981
WBGene00019296	0.447698951	-9.03E-06	-0.047140981
WBGene00012312	0.525753594	7.35E-06	0.173116612
WBGene00000237	0.668127581	2.81E-06	-0.008221602
WBGene00017654	0.374845167	1.77E-06	0.05631334
WBGene00002222	0.480350066	5.34E-06	-0.142515602
WBGene00019017	0.536835752	-3.90E-06	-0.021164202
WBGene00020743	0.460180286	4.73E-06	-0.056496953
WBGene00001663	0.455196893	2.87E-06	0.038763454
WBGene00023206	0.358532521	-5.77E-06	0.043938922
WBGene00003978	0.358532521	-5.77E-06	0.043938922
WBGene00022493	0.358532521	-5.77E-06	0.043938922
WBGene00006063	0.452402176	-7.58E-06	-0.078508077
WBGene00012961	0.791304019	4.42E-06	0.033828093
WBGene00001914	0.46572926	3.19E-06	0.225132817
WBGene00001912	0.46572926	3.19E-06	0.225132817
WBGene00014207	0.465714813	4.67E-06	0.160655485
WBGene00007855	0.519973256	9.96E-08	0.005143392
WBGene00004046	0.529325388	-1.31E-06	-0.039966765
WBGene00018471	0.529325388	-1.31E-06	-0.039966765
WBGene00004479	0.49192744	-2.08E-06	-0.084976751
WBGene00019122	0.632846614	5.87E-06	-0.011094913
WBGene00235270	0.632846614	5.87E-06	-0.011094913
WBGene00006372	0.475797971	2.61E-06	0.043229869
WBGene00003728	0.478892768	4.51E-06	0.112010148
WBGene00219837	0.478892768	4.51E-06	0.112010148
WBGene00019521	0.460523241	-3.59E-06	-0.028968482
WBGene00001094	0.445270937	-1.96E-06	-0.033391983
WBGene00019521	0.43510609	-6.74E-06	-0.058680978
WBGene00017449	0.466470783	9.39E-06	-0.050039183
WBGene00006692	0.503097467	1.16E-05	0.070979576
WBGene00014729	0.526208777	-6.56E-06	-0.040914781
WBGene00008476	0.526208777	-6.56E-06	-0.040914781
WBGene00006344	0.400746373	1.00E-05	0.06928689
WBGene00008561	0.57431065	7.58E-06	0.02616819
WBGene00013198	0.517242437	7.42E-06	-0.041901578
WBGene00001817	0.454981709	-3.90E-06	-0.127825275
WBGene00009219	0.295978593	4.79E-06	0.041683408
WBGene00004492	0.295978593	4.79E-06	0.041683408
WBGene00004499	0.464016445	-3.27E-06	-0.032873372
WBGene00004453	0.464016445	-3.27E-06	-0.032873372
WBGene00220144	0.399575259	3.00E-06	0.000972499
WBGene00000566	0.399575259	3.00E-06	0.000972499
WBGene00022791	0.368622136	-2.67E-07	-0.024555778
WBGene00018565	0.310012651	-5.43E-06	-0.00017089
WBGene00003285	0.451681967	3.11E-06	-0.035452056
WBGene00020504	0.578899983	-1.57E-06	-0.049929035
WBGene00021282	0.401523197	-2.39E-06	0.002706851
WBGene00004419	0.401523197	-2.39E-06	0.002706851
WBGene00004704	0.446452031	-8.65E-06	-0.067187617
WBGene00010896	0.446452031	-8.65E-06	-0.067187617
WBGene00003010	0.456306948	8.81E-06	-0.015649837
WBGene00012969	0.388707517	5.66E-06	0.009225497
WBGene00012972	0.388707517	5.66E-06	0.009225497
WBGene00010641	0.321040191	5.29E-06	-0.103713843
WBGene00044914	0.446685627	2.94E-06	-0.01796313
WBGene00020930	0.421698862	-2.83E-06	-0.011509014
WBGene00013426	0.642375587	1.44E-06	0.023754124
WBGene00044083	0.362134699	-1.72E-06	-0.04288029
WBGene00001007	0.362134699	-1.72E-06	-0.04288029
WBGene00017981	0.601305397	6.60E-06	0.07269129
WBGene00004046	0.652189183	-3.59E-06	-0.023501655
WBGene00000841	0.542084551	3.57E-06	-0.042874389
WBGene00002215	0.40741537	-6.43E-06	-0.043271814
WBGene00003480	0.376563618	-2.28E-06	-0.076151719
WBGene00044949	0.457382465	-6.12E-06	0.026292027
WBGene00021953	0.693138918	-1.46E-06	-0.084575767
WBGene00194713	0.574098162	-4.17E-06	-0.051657364
WBGene00004183	0.458429292	8.89E-06	0.065525838
WBGene00021987	0.409284424	3.48E-06	0.171199152
WBGene00003037	0.399677067	-5.65E-06	-0.217429763
WBGene00077462	0.399677067	-5.65E-06	-0.217429763
WBGene00004424	0.399677067	-5.65E-06	-0.217429763
WBGene00013947	0.555862351	1.25E-06	-0.129623915
WBGene00013946	0.555862351	1.25E-06	-0.129623915
WBGene00018427	0.412732249	-1.06E-05	-0.131950325
WBGene00001393	0.424420623	1.21E-06	-0.039824354
WBGene00021687	0.436525967	-2.02E-06	-0.179500893
WBGene00001879	0.362054387	1.15E-05	0.449048965
WBGene00001880	0.362054387	1.15E-05	0.449048965
WBGene00021751	0.558959373	-2.78E-06	0.01885567
WBGene00006307	0.490370452	-1.14E-06	-0.210467313
WBGene00009365	0.471233626	-4.22E-06	-0.051938706
WBGene00005289	0.623550957	7.06E-06	0.025833795
WBGene00011878	0.623550957	7.06E-06	0.025833795
WBGene00021818	0.518482565	9.81E-06	0.008514093
WBGene00015008	0.352742357	-2.20E-06	-0.296856601
WBGene00022466	0.352742357	-2.20E-06	-0.296856601
WBGene00004360	0.494038715	-1.28E-06	-0.011535914
WBGene00009709	0.616344365	5.13E-06	0.007271354
WBGene00014176	0.467193055	3.30E-06	-0.05142764
WBGene00002083	0.638963908	1.20E-06	-0.013673304
WBGene00018998	0.638963908	1.20E-06	-0.013673304
WBGene00010006	0.444069734	-1.93E-06	0.096343543
WBGene00001178	0.442043679	-2.28E-06	0.175292122
WBGene00020930	0.403619184	4.06E-06	0.025875029
WBGene00008948	0.348147328	-5.09E-06	0.076372562
WBGene00004057	0.421742344	6.57E-06	-0.017640415
WBGene00003196	0.460121262	4.69E-06	-0.065568369
WBGene00012901	0.440494989	2.71E-06	0.010112166
WBGene00019247	0.473868181	-5.05E-08	-0.009012311
WBGene00019248	0.473868181	-5.05E-08	-0.009012311
WBGene00002120	0.403789247	6.30E-06	-0.028383618
WBGene00014310	0.403789247	6.30E-06	-0.028383618
WBGene00016321	0.337369811	-1.26E-06	-0.033213747
WBGene00015418	0.411689151	2.62E-08	-0.075820897
WBGene00017447	0.530109882	3.26E-06	-0.386908987
WBGene00017216	0.429989909	3.43E-06	-0.060953224
WBGene00017217	0.429989909	3.43E-06	-0.060953224
WBGene00014999	0.550765992	2.39E-06	-0.064918334
WBGene00007475	0.309804819	-4.36E-06	0.337871372
WBGene00000511	0.309804819	-4.36E-06	0.337871372
WBGene00007139	0.309804819	-4.36E-06	0.337871372
WBGene00004481	0.333457221	-6.98E-06	-0.000738057
WBGene00018830	0.333457221	-6.98E-06	-0.000738057
WBGene00008443	0.503708262	0.601375081	0.04986428
WBGene00008585	0.469898891	6.13E-06	0.021845037
WBGene00003387	0.548752138	2.40E-06	0.000734106
WBGene00018199	0.4001969	-4.60E-06	0.1299435
WBGene00013946	0.467553717	2.90E-06	-0.049182691
WBGene00006916	0.412518255	2.42E-06	0.00824048
WBGene00013223	0.412518255	2.42E-06	0.00824048
WBGene00001708	0.404885714	4.54E-06	0.134988304
WBGene00008951	0.404885714	4.54E-06	0.134988304
WBGene00022246	0.570006229	3.55E-06	-0.027220405
WBGene00012407	0.518151045	3.65E-06	-0.046489241
WBGene00195210	0.518151045	3.65E-06	-0.046489241
WBGene00023094	0.333855666	5.97E-06	0.12086974
WBGene00004436	0.356321363	-1.69E-05	0.006099853
WBGene00004479	0.356321363	-1.69E-05	0.006099853
WBGene00010785	0.339464629	-9.99E-06	-0.013020361
WBGene00003789	0.339464629	-9.99E-06	-0.013020361
WBGene00004484	0.401509374	5.05E-06	-0.010386348
WBGene00001569	0.472767581	-3.76E-06	0.109595274
